Meal_ID,Meal_Name,Cuisine,Calories,Protein,Carbohydrates,Fat,Fiber,Cost,Is_Vegetarian,Meal_Type,Prep_Time,Base_Rating
1,Grilled Turkey with Oats,Mexican,604,39,100,5,9,98,0,Breakfast,37,3.9
2,Baked Lentils & Rice Bowl with Spinach,Asian,510,30,68,13,9,117,1,Lunch,10,4.6
3,Grilled Fish Bites,Italian,357,25,32,14,4,79,0,Snack,6,4.7
4,Greek Yogurt with Honey,Indian,234,14,35,4,4,47,1,Snack,9,4.2
5,Roasted Beans,American,215,5,35,6,5,29,1,Snack,9,4.1
6,Oats with Fruits & Nuts,Asian,550,16,83,17,13,94,1,Breakfast,40,3.7
7,Grilled Pork & Rice Bowl with Mushroom,Asian,477,37,66,7,5,122,0,Lunch,11,4.0
8,Baked Beef & Wrap Bowl with Broccoli,Indian,451,52,31,13,3,65,0,Lunch,24,4.2
9,Spicy Paneer & Oats Bowl with Salad,Asian,322,22,33,11,5,44,1,Lunch,31,4.9
10,Spicy Fish with Quinoa,Indian,688,29,107,16,4,154,0,Breakfast,40,4.4
11,Spicy Pork & Bread Bowl with Mixed Veggies,Mediterranean,602,55,41,24,6,136,0,Dinner,12,4.1
12,Baked Tofu & Oats Bowl with Mixed Veggies,Italian,784,27,139,13,14,59,1,Dinner,18,3.6
13,Grilled Egg Bites,Mediterranean,246,23,31,3,0,71,0,Snack,7,3.7
14,Grilled Egg & Wrap Bowl with Salad,American,648,57,62,19,4,163,0,Dinner,14,3.5
15,Grilled Pork Bites,Indian,365,14,50,12,4,73,0,Snack,6,4.8
16,Baked Chicken with Rice,American,422,40,52,6,4,111,0,Breakfast,22,4.0
17,Pasta with Spinach,Asian,741,22,107,25,7,71,1,Breakfast,38,3.8
18,Oats with Fruits & Nuts,American,393,27,21,22,13,91,1,Breakfast,40,4.1
19,Grilled Turkey Bites,Mediterranean,153,28,5,2,4,81,0,Snack,7,3.8
20,Creamy Beef with Potato,Mexican,559,34,65,18,8,145,0,Breakfast,21,3.6
