temperature_c,rainfall_mm,humidity_pct,soil_moisture,soil_n_mgkg,soil_p_mgkg,soil_k_mgkg,soil_ph,crop_type,leaf_spot,wilting,pest_damage,previous_yield_tpha,disease_risk,yield_loss_pct,expected_yield_tpha,yield_risk
33.24,105.9,70.08,0.569,91.58,42.61,24.65,7.3,Maize,0,0,0,5.06,Low,0.0,4.93,Low
25.74,204.35,73.13,0.566,36.57,42.79,28.21,5.62,Wheat,0,0,1,5.45,Medium,13.71,4.59,Medium
28.82,98.9,73.84,0.577,58.66,33.59,48.18,6.32,Cotton,0,0,0,4.11,Low,12.49,3.59,Medium
15.0,47.65,49.51,0.379,40.61,29.27,77.72,5.85,Maize,0,0,0,4.7,Low,14.37,3.91,Medium
21.22,181.23,79.97,0.656,45.15,63.46,56.69,6.31,Rice,0,0,0,4.37,Low,4.52,4.07,Low
25.53,28.71,56.8,0.399,54.11,50.04,22.12,7.62,Cotton,0,1,1,4.55,Medium,21.01,3.77,Medium
21.64,164.24,76.86,0.66,79.25,47.86,8.0,5.5,Maize,1,0,0,5.85,Low,0.0,6.03,Low
30.57,92.88,67.85,0.406,87.42,44.92,59.0,5.37,Maize,0,0,0,5.67,Low,6.53,5.0,Low
36.99,77.18,48.73,0.632,63.07,25.96,46.56,5.92,Rice,0,0,0,4.24,Low,6.33,3.83,Low
21.12,75.93,63.57,0.343,48.22,53.33,65.12,6.7,Wheat,0,0,1,4.39,Low,12.61,3.75,Medium
22.81,85.12,73.12,0.326,99.87,27.88,34.79,6.93,Wheat,0,0,0,4.92,Low,13.19,4.38,Medium
28.18,70.23,76.58,0.263,47.3,41.4,53.25,6.81,Cotton,0,0,0,4.82,Low,11.82,4.45,Medium
35.06,120.97,66.03,0.678,44.72,18.33,60.69,7.32,Maize,0,0,1,3.93,Medium,8.6,4.07,Low
20.89,71.82,89.44,0.468,23.05,13.51,41.29,5.27,Cotton,0,0,0,4.21,Low,15.45,3.47,Medium
28.25,20.97,82.11,0.292,80.13,41.82,41.61,7.33,Wheat,0,0,0,5.03,Low,10.04,4.45,Medium
36.11,93.3,64.41,0.537,72.43,28.29,48.38,6.28,Rice,0,0,0,4.87,Low,1.32,4.92,Low
