Season,Soil_Quality,Temperature_C,Rainfall_mm,Humidity_Percent,Irrigation_Level,Soil_Moisture_Percent,Fertilizer_Usage_kg,Crop_Yield_ton_per_hectare
Kharif,60.6,25.77,945.95,60.35,95.24,28.1,57.17,29.09
Rabi,92.29,23.43,1016.87,50.11,96.31,56.88,75.03,30.24
Zaid,80.26,34.57,554.4,86.61,93.19,57.44,62.08,16.88
Kharif,72.93,25.14,388.04,84.48,49.61,63.25,68.19,18.16
Rabi,48.58,23.62,482.35,56.61,21.24,68.57,95.9,17.36
Zaid,48.58,28.85,641.69,74.7,94.27,83.55,57.03,17.5
Kharif,43.19,20.82,954.41,81.77,54.25,55.98,97.28,29.5
Rabi,87.64,34.04,988.58,69.98,97.33,44.38,93.37,28.69
Zaid,73.06,19.49,305.56,68.83,97.09,72.71,43.71,11.11
Kharif,78.94,37.74,708.6,55.88,88.24,41.25,34.86,23.36
Rabi,41.13,33.44,633.93,49.19,43.56,51.34,37.05,19.0
Zaid,93.35,21.97,477.69,85.37,50.81,29.71,31.28,13.12
Kharif,85.78,18.11,395.89,85.52,88.09,26.52,36.61,17.69
Rabi,51.68,34.31,570.09,73.49,45.35,82.76,77.81,20.03
Zaid,50.0,32.14,1054.33,60.26,33.56,75.16,34.98,23.43
Kharif,50.09,32.58,558.56,60.71,64.54,66.76,52.33,20.37
Rabi,56.73,33.43,715.03,77.67,94.89,49.54,89.14,22.53
Zaid,68.86,19.48,862.42,85.37,75.68,35.4,31.63,20.75
Kharif,63.76,25.17,590.9,84.92,65.6,34.39,87.01,20.66
Rabi,56.02,20.32,1077.43,80.09,27.77,40.01,49.73,25.37
Zaid,73.65,35.26,1069.96,73.89,69.2,57.95,38.27,23.83
Kharif,47.67,30.47,501.43,48.79,99.2,67.88,78.77,20.83
Rabi,56.07,24.62,697.8,52.27,31.21,64.61,74.03,21.58
Zaid,60.15,19.27,540.7,85.43,61.47,41.8,91.42,16.86
Kharif,65.08,24.22,527.87,72.29,90.19,82.29,81.45,23.98
Rabi,83.18,24.5,329.51,45.41,79.26,69.27,86.24,16.71
Zaid,50.98,32.59,787.65,49.57,75.76,58.26,49.74,18.87
Kharif,68.28,30.75,702.14,74.86,76.2,61.7,42.42,23.41
Rabi,72.58,35.74,341.18,45.23,48.76,50.18,82.54,14.83
Zaid,42.55,27.44,522.92,52.24,43.49,39.86,86.48,13.14
Kharif,73.41,20.39,1026.61,69.69,84.75,46.36,99.34,31.3
Rabi,49.38,32.26,491.65,76.14,84.81,70.47,58.88,17.8
Zaid,43.58,33.22,415.92,74.34,89.37,25.86,56.04,12.48
Kharif,92.19,29.23,691.56,55.09,93.06,31.96,84.35,26.99
Rabi,93.11,33.42,1088.52,77.05,60.91,27.76,53.86,28.91
Zaid,84.46,27.88,493.64,55.68,60.12,27.44,95.15,15.12
Kharif,56.75,28.45,837.71,59.64,83.86,76.33,90.09,28.71
Rabi,45.37,26.55,909.3,78.59,72.0,67.22,60.03,25.73
Zaid,77.63,18.51,490.11,74.23,76.16,53.45,82.56,15.36
Kharif,64.21,20.16,882.57,83.22,83.66,30.87,82.82,27.53
Rabi,46.71,18.63,594.23,74.59,91.2,54.5,37.22,19.74
Zaid,67.23,30.73,805.84,70.57,47.04,53.41,93.18,19.22
Kharif,41.89,24.29,806.82,49.22,50.05,35.39,65.37,24.08
Rabi,90.01,28.17,728.62,61.55,27.52,51.03,87.85,23.54
Zaid,54.23,36.15,372.23,56.93,66.26,48.91,52.4,12.66
Kharif,76.44,22.99,968.24,55.98,22.88,61.95,92.69,29.87
Rabi,57.14,26.21,556.62,88.79,57.25,63.11,57.24,22.5
Zaid,68.6,33.11,449.21,62.69,63.41,27.72,30.76,11.21
Kharif,70.07,22.58,332.62,85.14,42.92,47.48,93.38,18.73
Rabi,50.17,19.54,772.71,73.4,67.27,62.55,36.39,22.86
Zaid,93.33,23.8,842.05,80.77,22.44,55.19,52.35,23.41
Kharif,82.63,21.22,313.27,67.62,22.99,76.39,96.5,16.77
Rabi,91.67,36.59,709.67,70.96,85.81,64.52,96.54,23.16
Zaid,89.22,34.16,481.2,67.16,48.82,34.78,70.14,13.15
Kharif,72.88,30.67,816.14,53.79,30.16,29.23,74.23,22.22
Rabi,90.7,35.43,439.49,77.51,61.78,63.55,61.39,17.7
Zaid,44.87,34.07,852.75,57.63,81.6,26.59,50.52,18.19
Kharif,50.78,21.73,609.39,46.09,37.27,60.15,53.01,20.96
Rabi,42.49,35.85,1049.38,74.05,69.83,81.41,77.08,28.9
Zaid,57.89,28.79,410.02,52.97,26.83,59.53,82.67,14.27
